127.0.0.1 - - [08/Jan/2025:08:20:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:20:30 +0530] "GET /Servlet_Concept/ HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:20:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:20:34 +0530] "GET /Servlet_Concept/ServletContext_ServletConfig.html HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:20:35 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:20:59 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:21:00 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:21:00 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:21:01 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:21:01 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:21:01 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:21:01 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:22:05 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:22:06 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:22:07 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:22:07 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:22:08 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:22:10 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:26 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:27 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:28 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:31 +0530] "GET /Servlet_Concept/Servlet1? HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:40 +0530] "GET /Servlet_Concept/Servlet2? HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:55 +0530] "GET /Servlet_Concept/Servlet2? HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:23:57 +0530] "GET /Servlet_Concept/Servlet2? HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:24:01 +0530] "GET /Servlet_Concept/Servlet2? HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:24:03 +0530] "GET /Servlet_Concept/Servlet2? HTTP/1.1" 200 80
