127.0.0.1 - - [04/Feb/2025:08:48:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:48:59 +0530] "GET /JSP_Project/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:49:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:49:13 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:49:16 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:49:17 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:35 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:37 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:49 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:50 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:51 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:52 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:52:52 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:54:40 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [04/Feb/2025:08:54:41 +0530] "GET /JSP_Project/Page_Directive.jsp HTTP/1.1" 200 368
